MSZoning,"{'FV': 0, 'RL': 1, 'RM': 2, 'Rare_var': 3}"
Street,"{'Pave': 0, 'Rare_var': 1}"
Alley,"{'Grvl': 0, 'Missing': 1, 'Pave': 2}"
LotShape,"{'IR1': 0, 'IR2': 1, 'Rare_var': 2, 'Reg': 3}"
LandContour,"{'Bnk': 0, 'HLS': 1, 'Low': 2, 'Lvl': 3}"
Utilities,"{'AllPub': 0, 'Rare_var': 1}"
LotConfig,"{'Corner': 0, 'CulDSac': 1, 'FR2': 2, 'Inside': 3, 'Rare_var': 4}"
LandSlope,"{'Gtl': 0, 'Mod': 1, 'Rare_var': 2}"
Neighborhood,"{'BrDale': 0, 'BrkSide': 1, 'ClearCr': 2, 'CollgCr': 3, 'Crawfor': 4, 'Edwards': 5, 'Gilbert': 6, 'IDOTRR': 7, 'MeadowV': 8, 'Mitchel': 9, 'NAmes': 10, 'NWAmes': 11, 'NoRidge': 12, 'NridgHt': 13, 'OldTown': 14, 'Rare_var': 15, 'SWISU': 16, 'Sawyer': 17, 'SawyerW': 18, 'Somerst': 19, 'StoneBr': 20, 'Timber': 21}"
Condition1,"{'Artery': 0, 'Feedr': 1, 'Norm': 2, 'PosN': 3, 'RRAn': 4, 'Rare_var': 5}"
Condition2,"{'Norm': 0, 'Rare_var': 1}"
BldgType,"{'1Fam': 0, '2fmCon': 1, 'Duplex': 2, 'Twnhs': 3, 'TwnhsE': 4}"
HouseStyle,"{'1.5Fin': 0, '1Story': 1, '2Story': 2, 'Rare_var': 3, 'SFoyer': 4, 'SLvl': 5}"
RoofStyle,"{'Gable': 0, 'Hip': 1, 'Rare_var': 2}"
RoofMatl,"{'CompShg': 0, 'Rare_var': 1}"
Exterior1st,"{'AsbShng': 0, 'BrkFace': 1, 'CemntBd': 2, 'HdBoard': 3, 'MetalSd': 4, 'Plywood': 5, 'Rare_var': 6, 'Stucco': 7, 'VinylSd': 8, 'Wd Sdng': 9, 'WdShing': 10}"
Exterior2nd,"{'AsbShng': 0, 'BrkFace': 1, 'CmentBd': 2, 'HdBoard': 3, 'MetalSd': 4, 'Plywood': 5, 'Rare_var': 6, 'Stucco': 7, 'VinylSd': 8, 'Wd Sdng': 9, 'Wd Shng': 10}"
MasVnrType,"{'BrkFace': 0, 'None': 1, 'Rare_var': 2, 'Stone': 3}"
ExterQual,"{'Ex': 0, 'Fa': 1, 'Gd': 2, 'TA': 3}"
ExterCond,"{'Fa': 0, 'Gd': 1, 'Rare_var': 2, 'TA': 3}"
Foundation,"{'BrkTil': 0, 'CBlock': 1, 'PConc': 2, 'Rare_var': 3, 'Slab': 4}"
BsmtQual,"{'Ex': 0, 'Fa': 1, 'Gd': 2, 'Missing': 3, 'TA': 4}"
BsmtCond,"{'Fa': 0, 'Gd': 1, 'Missing': 2, 'Rare_var': 3, 'TA': 4}"
BsmtExposure,"{'Av': 0, 'Gd': 1, 'Missing': 2, 'Mn': 3, 'No': 4}"
BsmtFinType1,"{'ALQ': 0, 'BLQ': 1, 'GLQ': 2, 'LwQ': 3, 'Missing': 4, 'Rec': 5, 'Unf': 6}"
BsmtFinType2,"{'ALQ': 0, 'BLQ': 1, 'GLQ': 2, 'LwQ': 3, 'Missing': 4, 'Rec': 5, 'Unf': 6}"
Heating,"{'GasA': 0, 'Rare_var': 1}"
HeatingQC,"{'Ex': 0, 'Fa': 1, 'Gd': 2, 'Rare_var': 3, 'TA': 4}"
CentralAir,"{'N': 0, 'Y': 1}"
Electrical,"{'FuseA': 0, 'FuseF': 1, 'Rare_var': 2, 'SBrkr': 3}"
KitchenQual,"{'Ex': 0, 'Fa': 1, 'Gd': 2, 'Rare_var': 3, 'TA': 4}"
Functional,"{'Min1': 0, 'Min2': 1, 'Mod': 2, 'Rare_var': 3, 'Typ': 4}"
FireplaceQu,"{'Ex': 0, 'Fa': 1, 'Gd': 2, 'Missing': 3, 'Po': 4, 'TA': 5}"
GarageType,"{'Attchd': 0, 'Basment': 1, 'BuiltIn': 2, 'Detchd': 3, 'Missing': 4, 'Rare_var': 5}"
GarageFinish,"{'Fin': 0, 'Missing': 1, 'RFn': 2, 'Unf': 3}"
GarageQual,"{'Fa': 0, 'Missing': 1, 'Rare_var': 2, 'TA': 3}"
GarageCond,"{'Fa': 0, 'Missing': 1, 'Rare_var': 2, 'TA': 3}"
PavedDrive,"{'N': 0, 'P': 1, 'Y': 2}"
PoolQC,"{'Missing': 0, 'Rare_var': 1}"
Fence,"{'GdPrv': 0, 'GdWo': 1, 'Missing': 2, 'MnPrv': 3, 'Rare_var': 4}"
MiscFeature,"{'Missing': 0, 'Rare_var': 1, 'Shed': 2}"
SaleType,"{'COD': 0, 'New': 1, 'Rare_var': 2, 'WD': 3}"
SaleCondition,"{'Abnorml': 0, 'Family': 1, 'Normal': 2, 'Partial': 3, 'Rare_var': 4}"
